Date,Day,Population,TotalCases,Hospitalized,TotalDeaths,PctPopInfected,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,nConfirmed_Change,nDeaths_Change,pConfirmed_Change,pDeaths_Change,Fatality_Rate
03/02/2020,1.0,10617423.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/03/2020,2.0,10617423.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/04/2020,3.0,10617423.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/05/2020,4.0,10617423.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/06/2020,5.0,10617423.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0
03/07/2020,6.0,10617423.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.3333,0.0,0.0
03/08/2020,7.0,10617423.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5714,0.0,0.0
03/09/2020,8.0,10617423.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5455,0.0,0.0
03/10/2020,9.0,10617423.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2941,0.0,0.0
03/11/2020,10.0,10617423.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.4091,0.0,0.0
03/12/2020,11.0,10617423.0,31.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0323
03/13/2020,12.0,10617423.0,41.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,0.3226,0.0,0.0244
03/14/2020,13.0,10617423.0,65.0,0.0,1.0,0.0,1.0,0.0,2.0,24.0,0.0,0.5854,0.0,0.0154
03/15/2020,14.0,10617423.0,97.0,0.0,1.0,0.0,1.0,0.0,1.0,32.0,0.0,0.4923,0.0,0.0103
03/16/2020,15.0,10617423.0,118.0,0.0,1.0,0.0,1.0,0.0,1.0,21.0,0.0,0.2165,0.0,0.0085
03/17/2020,16.0,10617423.0,142.0,0.0,1.0,0.0,1.0,0.0,1.0,24.0,0.0,0.2034,0.0,0.007
03/18/2020,17.0,10617423.0,193.0,0.0,3.0,0.0,2.0,0.0,2.0,51.0,2.0,0.3592,2.0,0.0155
03/19/2020,18.0,10617423.0,282.0,0.0,10.0,0.0,3.0,0.0,4.0,89.0,7.0,0.4611,2.3333,0.0355
03/20/2020,19.0,10617423.0,482.0,0.0,14.0,0.0,5.0,0.0,3.0,200.0,4.0,0.7092,0.4,0.029
03/21/2020,20.0,10617423.0,552.0,0.0,20.0,0.0001,5.0,0.0,4.0,70.0,6.0,0.1452,0.4286,0.0362
03/22/2020,21.0,10617423.0,620.0,0.0,25.0,0.0001,6.0,0.0,4.0,68.0,5.0,0.1232,0.25,0.0403
03/23/2020,22.0,10617423.0,800.0,0.0,25.0,0.0001,8.0,0.0,3.0,180.0,0.0,0.2903,0.0,0.0312
03/24/2020,23.0,10617423.0,1097.0,0.0,38.0,0.0001,10.0,0.0,3.0,297.0,13.0,0.3713,0.52,0.0346
03/25/2020,24.0,10617423.0,1387.0,394.0,47.0,0.0001,13.0,0.0,3.0,290.0,9.0,0.2644,0.2368,0.0339
03/26/2020,25.0,10617423.0,1643.0,473.0,56.0,0.0002,15.0,1.0,3.0,256.0,9.0,0.1846,0.1915,0.0341
03/27/2020,26.0,10617423.0,2198.0,566.0,64.0,0.0002,21.0,1.0,3.0,555.0,8.0,0.3378,0.1429,0.0291
03/28/2020,27.0,10617423.0,2447.0,617.0,79.0,0.0002,23.0,1.0,3.0,249.0,15.0,0.1133,0.2344,0.0323
03/29/2020,28.0,10617423.0,2683.0,666.0,83.0,0.0003,25.0,1.0,3.0,236.0,4.0,0.0964,0.0506,0.0309
03/30/2020,29.0,10617423.0,3032.0,707.0,102.0,0.0003,29.0,1.0,3.0,349.0,19.0,0.1301,0.2289,0.0336
03/31/2020,30.0,10617423.0,4117.0,833.0,125.0,0.0004,39.0,1.0,3.0,1085.0,23.0,0.3578,0.2255,0.0304
04/01/2020,31.0,10617423.0,4748.0,952.0,154.0,0.0004,45.0,1.0,3.0,631.0,29.0,0.1533,0.232,0.0324
04/02/2020,32.0,10617423.0,5444.0,1056.0,176.0,0.0005,51.0,2.0,3.0,696.0,22.0,0.1466,0.1429,0.0323
04/03/2020,33.0,10617423.0,5967.0,1158.0,198.0,0.0006,56.0,2.0,3.0,523.0,22.0,0.0961,0.125,0.0332
04/04/2020,34.0,10617423.0,6383.0,1239.0,208.0,0.0006,60.0,2.0,3.0,416.0,10.0,0.0697,0.0505,0.0326
04/05/2020,35.0,10617423.0,6742.0,1283.0,219.0,0.0006,63.0,2.0,3.0,359.0,11.0,0.0562,0.0529,0.0325
04/06/2020,36.0,10617423.0,7558.0,1332.0,294.0,0.0007,71.0,3.0,4.0,816.0,75.0,0.121,0.3425,0.0389
04/07/2020,37.0,10617423.0,9156.0,1774.0,348.0,0.0009,86.0,3.0,4.0,1598.0,54.0,0.2114,0.1837,0.038
04/08/2020,38.0,10617423.0,10204.0,1993.0,370.0,0.001,96.0,3.0,4.0,1048.0,22.0,0.1145,0.0632,0.0363
04/09/2020,39.0,10617423.0,10885.0,2298.0,412.0,0.001,103.0,4.0,4.0,681.0,42.0,0.0667,0.1135,0.0379
04/10/2020,40.0,10617423.0,11859.0,2454.0,425.0,0.0011,112.0,4.0,4.0,974.0,13.0,0.0895,0.0316,0.0358
04/11/2020,41.0,10617423.0,12261.0,2491.0,432.0,0.0012,115.0,4.0,4.0,402.0,7.0,0.0339,0.0165,0.0352
04/12/2020,42.0,10617423.0,12550.0,2518.0,442.0,0.0012,118.0,4.0,4.0,289.0,10.0,0.0236,0.0231,0.0352
04/13/2020,43.0,10617423.0,13621.0,2702.0,480.0,0.0013,128.0,5.0,4.0,1071.0,38.0,0.0853,0.086,0.0352
04/14/2020,44.0,10617423.0,14578.0,2858.0,524.0,0.0014,137.0,5.0,4.0,957.0,44.0,0.0703,0.0917,0.0359
04/15/2020,45.0,10617423.0,15260.0,3006.0,576.0,0.0014,144.0,5.0,4.0,682.0,52.0,0.0468,0.0992,0.0377
04/16/2020,46.0,10617423.0,16368.0,3260.0,617.0,0.0015,154.0,6.0,4.0,1108.0,41.0,0.0726,0.0712,0.0377
04/17/2020,47.0,10617423.0,17432.0,3395.0,668.0,0.0016,164.0,6.0,4.0,1064.0,51.0,0.065,0.0827,0.0383
04/18/2020,48.0,10617423.0,17841.0,3447.0,677.0,0.0017,168.0,6.0,4.0,409.0,9.0,0.0235,0.0135,0.0379
04/19/2020,49.0,10617423.0,18489.0,3489.0,689.0,0.0017,174.0,6.0,4.0,648.0,12.0,0.0363,0.0177,0.0373
04/20/2020,50.0,10617423.0,19398.0,3702.0,774.0,0.0018,183.0,7.0,4.0,909.0,85.0,0.0492,0.1234,0.0399
04/21/2020,51.0,10617423.0,20166.0,3885.0,818.0,0.0019,190.0,8.0,4.0,768.0,44.0,0.0396,0.0568,0.0406
04/22/2020,52.0,10617423.0,21102.0,4018.0,846.0,0.002,199.0,8.0,4.0,936.0,28.0,0.0464,0.0342,0.0401
04/23/2020,53.0,10617423.0,21883.0,4154.0,881.0,0.0021,206.0,8.0,4.0,781.0,35.0,0.037,0.0414,0.0403
04/24/2020,54.0,10617423.0,22491.0,4322.0,899.0,0.0021,212.0,8.0,4.0,608.0,18.0,0.0278,0.0204,0.04
04/25/2020,55.0,10617423.0,23216.0,4353.0,907.0,0.0022,219.0,9.0,4.0,725.0,8.0,0.0322,0.0089,0.0391
04/26/2020,56.0,10617423.0,23481.0,4377.0,916.0,0.0022,221.0,9.0,4.0,265.0,9.0,0.0114,0.0099,0.039
04/27/2020,57.0,10617423.0,24219.0,4566.0,994.0,0.0023,228.0,9.0,4.0,738.0,78.0,0.0314,0.0852,0.041
04/28/2020,58.0,10617423.0,24854.0,4738.0,1036.0,0.0023,234.0,10.0,4.0,635.0,42.0,0.0262,0.0423,0.0417
04/29/2020,59.0,10617423.0,25644.0,4926.0,1095.0,0.0024,242.0,10.0,4.0,790.0,59.0,0.0318,0.0569,0.0427
04/30/2020,60.0,10617423.0,26261.0,5048.0,1132.0,0.0025,247.0,11.0,4.0,617.0,37.0,0.0241,0.0338,0.0431
05/01/2020,61.0,10617423.0,27496.0,5181.0,1165.0,0.0026,259.0,11.0,4.0,1235.0,33.0,0.047,0.0292,0.0424
05/02/2020,62.0,10617423.0,28330.0,5261.0,1174.0,0.0027,267.0,11.0,4.0,834.0,9.0,0.0303,0.0077,0.0414
05/03/2020,63.0,10617423.0,28665.0,5282.0,1179.0,0.0027,270.0,11.0,4.0,335.0,5.0,0.0118,0.0043,0.0411
